Crop,Year,Season,State,Production,Annual_Rainfall,Yield
Ragi,1997,Rabi       ,Karnataka,33696,1266.7,1.312222222
Ragi,1997,Summer     ,Karnataka,25035,1266.7,1.847777778
Rice,1997,Kharif     ,Karnataka,2340493,1266.7,2.2335
Rice,1997,Rabi       ,Karnataka,109350,1266.7,2.073846154
Rice,1997,Summer     ,Karnataka,762759,1266.7,2.829444444
Sugarcane,1997,Whole Year ,Karnataka,28999269,1266.7,91.74736842
Turmeric,1997,Whole Year ,Karnataka,24108,1266.7,4.452941176
Wheat,1997,Rabi       ,Karnataka,118512,1266.7,0.548333333
Arecanut,1997,Whole Year ,Kerala,93995,3252.4,1.147857143
Black pepper,1997,Whole Year ,Kerala,55520,3252.4,0.240714286
Cashewnut,1997,Whole Year ,Kerala,74142,3252.4,0.589285714
Coconut ,1997,Whole Year ,Kerala,5210000000,3252.4,5376.054286
Tapioca,1997,Whole Year ,Kerala,2841819,3252.4,22.80357143
Arecanut,1997,Whole Year ,Meghalaya,12116,3818.2,1.245714286
Arhar/Tur,1997,Kharif     ,Meghalaya,683,3818.2,0.806666667
Banana,1997,Whole Year ,Meghalaya,63011,3818.2,11.20714286
Castor seed,1997,Rabi       ,Meghalaya,15,3818.2,0.49
Cotton(lint),1997,Kharif     ,Meghalaya,5590,3818.2,0.796666667
Dry chillies,1997,Whole Year ,Meghalaya,1106,3818.2,0.64
Ginger,1997,Kharif     ,Meghalaya,45260,3818.2,6.054285714
Gram,1997,Rabi       ,Meghalaya,270,3818.2,0.613333333
Jute,1997,Kharif     ,Meghalaya,34683,3818.2,8.436666667
Linseed,1997,Kharif     ,Meghalaya,22,3818.2,0.44
Maize,1997,Kharif     ,Meghalaya,24878,3818.2,1.444285714
Mesta,1997,Kharif     ,Meghalaya,21558,3818.2,4.68
Mesta,1997,Whole Year ,Meghalaya,713,3818.2,0.7525
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1511,3818.2,0.777142857
Potato,1997,Whole Year ,Meghalaya,200509,3818.2,8.641428571
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,4467,3818.2,0.608571429
Rice,1997,Kharif     ,Meghalaya,150101,3818.2,1.378571429
Sesamum,1997,Kharif     ,Meghalaya,688,3818.2,0.575714286
Small millets,1997,Kharif     ,Meghalaya,2237,3818.2,0.861428571
Soyabean,1997,Kharif     ,Meghalaya,814,3818.2,0.921428571
Sugarcane,1997,Whole Year ,Meghalaya,225,3818.2,2.352
Sweet potato,1997,Whole Year ,Meghalaya,16978,3818.2,3.221428571
Tapioca,1997,Whole Year ,Meghalaya,21087,3818.2,6.537142857
Tobacco,1997,Rabi       ,Meghalaya,505,3818.2,0.618
Turmeric,1997,Whole Year ,Meghalaya,7126,3818.2,5.425714286
Wheat,1997,Rabi       ,Meghalaya,6894,3818.2,1.385
Arecanut,1997,Whole Year ,West Bengal,12423,1852.9,1.691764706
Arhar/Tur,1997,Whole Year ,West Bengal,2181,1852.9,0.777692308
Bajra,1997,Kharif     ,West Bengal,95,1852.9,0.426666667
Barley,1997,Whole Year ,West Bengal,5034,1852.9,1.68
Cardamom,1997,Whole Year ,West Bengal,7,1852.9,0
Castor seed,1997,Whole Year ,West Bengal,46,1852.9,0.07
Coconut ,1997,Whole Year ,West Bengal,306202300,1852.9,13003.78778
Cotton(lint),1997,Kharif     ,West Bengal,52000,1852.9,2
Dry chillies,1997,Whole Year ,West Bengal,55569,1852.9,0.942777778
Gram,1997,Rabi       ,West Bengal,16994,1852.9,0.5975
Groundnut,1997,Whole Year ,West Bengal,38672,1852.9,1.13
Horse-gram,1997,Kharif     ,West Bengal,2556,1852.9,0.438888889
Jowar,1997,Whole Year ,West Bengal,450,1852.9,0.482
Jute,1997,Kharif     ,West Bengal,7549700,1852.9,13.44588235
Khesari,1997,Rabi       ,West Bengal,28460,1852.9,1.095882353
Linseed,1997,Whole Year ,West Bengal,4210,1852.9,0.251538462
Maize,1997,Whole Year ,West Bengal,130390,1852.9,2.658461538
Masoor,1997,Rabi       ,West Bengal,35040,1852.9,0.662352941
Mesta,1997,Kharif     ,West Bengal,89000,1852.9,9.154166667
Moong(Green Gram),1997,Kharif     ,West Bengal,711,1852.9,0.548888889
Moong(Green Gram),1997,Rabi       ,West Bengal,1710,1852.9,0.542857143
Moong(Green Gram),1997,Summer     ,West Bengal,303,1852.9,0.046
Niger seed,1997,Rabi       ,West Bengal,38657300,1852.9,0.698888889
Niger seed,1997,Whole Year ,West Bengal,3522,1852.9,0.40375
Other Kharif pulses,1997,Kharif     ,West Bengal,725,1852.9,0.585
Potato,1997,Whole Year ,West Bengal,5581553,1852.9,18.23722222
Ragi,1997,Autumn     ,West Bengal,15330,1852.9,0.986
Rapeseed &Mustard,1997,Whole Year ,West Bengal,250950,1852.9,0.718333333
Rice,1997,Autumn     ,West Bengal,751970,1852.9,1.837222222
Rice,1997,Summer     ,West Bengal,3569520,1852.9,2.843888889
Rice,1997,Winter     ,West Bengal,8915100,1852.9,1.985555556
Safflower,1997,Whole Year ,West Bengal,3000,1852.9,0.2975
Sannhamp,1997,Whole Year ,West Bengal,9073,1852.9,4.598571429
Sesamum,1997,Whole Year ,West Bengal,88943,1852.9,0.649444444
Small millets,1997,Whole Year ,West Bengal,3222,1852.9,0.626666667
Soyabean,1997,Kharif     ,West Bengal,1172,1852.9,1.196666667
Sugarcane,1997,Whole Year ,West Bengal,1818700,1852.9,67.83625
Sunflower,1997,Whole Year ,West Bengal,1,1852.9,0
Turmeric,1997,Whole Year ,West Bengal,23556,1852.9,1.661111111
Urad,1997,Kharif     ,West Bengal,44480,1852.9,1.825
Urad,1997,Rabi       ,West Bengal,10553,1852.9,0.628333333
Wheat,1997,Rabi       ,West Bengal,810480,1852.9,1.886666667
Arecanut,1998,Kharif     ,Puducherry,23,1434.5875,0.35
Bajra,1998,Kharif     ,Puducherry,324,1434.5875,2.17
Black pepper,1998,Kharif     ,Puducherry,7,1434.5875,0.58
Coriander,1998,Kharif     ,Puducherry,1,1434.5875,0.5
Cotton(lint),1998,Summer     ,Puducherry,372,1434.5875,0.84
Dry chillies,1998,Kharif     ,Puducherry,23,1434.5875,2.75
Groundnut,1998,Rabi       ,Puducherry,2062,1434.5875,1.54
Onion,1998,Kharif     ,Puducherry,429,1434.5875,16.5
Ragi,1998,Kharif     ,Puducherry,366,1434.5875,3.27
Rice,1998,Kharif     ,Puducherry,11518,1434.5875,2.46
Rice,1998,Rabi       ,Puducherry,30220,1434.5875,2.555
Rice,1998,Summer     ,Puducherry,14863,1434.5875,2.55
Sesamum,1998,Kharif     ,Puducherry,120,1434.5875,0.806666667
Small millets,1998,Kharif     ,Puducherry,3,1434.5875,0.75
Sugarcane,1998,Kharif     ,Puducherry,232369,1434.5875,82.595
Tapioca,1998,Kharif     ,Puducherry,19110,1434.5875,20
Arecanut,1998,Whole Year ,Assam,55355,2354.4,0.784347826
Arhar/Tur,1998,Kharif     ,Assam,5389,2354.4,0.709130435
Banana,1998,Whole Year ,Assam,581884,2354.4,13.78826087
Castor seed,1998,Kharif     ,Assam,708,2354.4,0.411428571
Coconut ,1998,Whole Year ,Assam,149866000,2354.4,6045.886957
Cotton(lint),1998,Kharif     ,Assam,751,2354.4,0.399130435
Dry chillies,1998,Whole Year ,Assam,9690,2354.4,0.636956522
Gram,1998,Rabi       ,Assam,1503,2354.4,0.460454545
Jute,1998,Kharif     ,Assam,687173,2354.4,9.040869565
Linseed,1998,Rabi       ,Assam,5212,2354.4,0.480909091
Maize,1998,Kharif     ,Assam,13965,2354.4,0.608695652
Mesta,1998,Kharif     ,Assam,25623,2354.4,4.9105
Niger seed,1998,Kharif     ,Assam,4478,2354.4,0.520555556
Onion,1998,Whole Year ,Assam,18341,2354.4,2.340434783
Other  Rabi pulses,1998,Rabi       ,Assam,62330,2354.4,0.50826087
Potato,1998,Whole Year ,Assam,611077,2354.4,7.230434783
Rapeseed &Mustard,1998,Rabi       ,Assam,135631,2354.4,0.473478261
Rice,1998,Autumn     ,Assam,520605,2354.4,1.055652174
Rice,1998,Summer     ,Assam,446114,2354.4,1.685217391
Rice,1998,Winter     ,Assam,2288114,2354.4,1.395652174
Sesamum,1998,Kharif     ,Assam,8210,2354.4,0.485217391
Small millets,1998,Kharif     ,Assam,5450,2354.4,0.521363636
Sugarcane,1998,Whole Year ,Assam,1223578,2354.4,39.89304348
Sweet potato,1998,Whole Year ,Assam,32437,2354.4,3.435652174
Tapioca,1998,Whole Year ,Assam,13261,2354.4,4.445217391
Tobacco,1998,Whole Year ,Assam,732,2354.4,0.569545455
Turmeric,1998,Whole Year ,Assam,7416,2354.4,0.666956522
Wheat,1998,Rabi       ,Assam,90509,2354.4,0.999545455
Arecanut,1998,Whole Year ,Goa,1820,2964.9,1.21
Banana,1998,Whole Year ,Goa,14400,2964.9,7.58
Black pepper,1998,Whole Year ,Goa,70,2964.9,0.28
Cashewnut,1998,Whole Year ,Goa,15000,2964.9,0.28
Coconut ,1998,Whole Year ,Goa,121000000,2964.9,4867.65
Groundnut,1998,Kharif     ,Goa,412,2964.9,1.18
Groundnut,1998,Rabi       ,Goa,2124,2964.9,2.03
Other  Rabi pulses,1998,Rabi       ,Goa,9220,2964.9,1.06
Other Kharif pulses,1998,Kharif     ,Goa,324,2964.9,0.27
Ragi,1998,Kharif     ,Goa,2476,2964.9,0.99
Rice,1998,Kharif     ,Goa,104249,2964.9,2.54
Rice,1998,Rabi       ,Goa,46925,2964.9,3.04
Sugarcane,1998,Whole Year ,Goa,64000,2964.9,48.48
Arecanut,1998,Whole Year ,Karnataka,648365,1260.8,6.232
Arhar/Tur,1998,Kharif     ,Karnataka,221453,1260.8,0.400833333
Bajra,1998,Kharif     ,Karnataka,282231,1260.8,0.601764706
Bajra,1998,Rabi       ,Karnataka,536,1260.8,1.19
Bajra,1998,Summer     ,Karnataka,498,1260.8,0.59
Black pepper,1998,Whole Year ,Karnataka,10342,1260.8,2.238
Cardamom,1998,Whole Year ,Karnataka,1153,1260.8,0.06
Castor seed,1998,Kharif     ,Karnataka,23245,1260.8,0.831818182
Coconut ,1998,Whole Year ,Karnataka,1611530000,1260.8,4692.261111
Coriander,1998,Whole Year ,Karnataka,2982,1260.8,0.118
Cotton(lint),1998,Kharif     ,Karnataka,976876,1260.8,1.556521739
Dry chillies,1998,Whole Year ,Karnataka,146498,1260.8,1.123703704
Garlic,1998,Whole Year ,Karnataka,3034,1260.8,1.459411765
Ginger,1998,Kharif     ,Karnataka,51169,1260.8,12.75944444
Gram,1998,Rabi       ,Karnataka,202508,1260.8,0.573478261
Groundnut,1998,Kharif     ,Karnataka,929016,1260.8,0.8568
Groundnut,1998,Rabi       ,Karnataka,263118,1260.8,1.3052
Horse-gram,1998,Kharif     ,Karnataka,90718,1260.8,0.504615385
Horse-gram,1998,Rabi       ,Karnataka,62084,1260.8,0.4492
Jowar,1998,Kharif     ,Karnataka,616645,1260.8,1.305714286
Jowar,1998,Rabi       ,Karnataka,1003450,1260.8,0.7235
Jowar,1998,Summer     ,Karnataka,23144,1260.8,2.461333333
Linseed,1998,Rabi       ,Karnataka,6441,1260.8,0.315
Maize,1998,Kharif     ,Karnataka,1542607,1260.8,3.366
Maize,1998,Rabi       ,Karnataka,101605,1260.8,1.97952381
Maize,1998,Summer     ,Karnataka,27080,1260.8,2.241904762
Moong(Green Gram),1998,Kharif     ,Karnataka,61227,1260.8,0.180769231
Moong(Green Gram),1998,Rabi       ,Karnataka,7005,1260.8,0.438823529
Niger seed,1998,Kharif     ,Karnataka,8104,1260.8,0.214782609
Onion,1998,Kharif     ,Karnataka,362053,1260.8,5.363636364
Onion,1998,Rabi       ,Karnataka,91057,1260.8,8.936315789
Onion,1998,Summer     ,Karnataka,55339,1260.8,11.86631579
Peas & beans (Pulses),1998,Kharif     ,Karnataka,15872,1260.8,9.265882353
Peas & beans (Pulses),1998,Rabi       ,Karnataka,4882,1260.8,8.948181818
Peas & beans (Pulses),1998,Summer     ,Karnataka,13707,1260.8,7.827
Potato,1998,Kharif     ,Karnataka,317052,1260.8,12.37333333
Potato,1998,Rabi       ,Karnataka,82124,1260.8,18.90714286
Potato,1998,Summer     ,Karnataka,19387,1260.8,17.6
Potato,1998,Whole Year ,Karnataka,3910,1260.8,14.59
Ragi,1998,Kharif     ,Karnataka,1664767,1260.8,1.418
Ragi,1998,Rabi       ,Karnataka,45301,1260.8,1.361
Ragi,1998,Summer     ,Karnataka,24008,1260.8,2.239230769
Rapeseed &Mustard,1998,Kharif     ,Karnataka,1790,1260.8,0.210625
Rice,1998,Kharif     ,Karnataka,2599170,1260.8,2.310740741
Rice,1998,Rabi       ,Karnataka,106072,1260.8,2.054285714
Rice,1998,Summer     ,Karnataka,951569,1260.8,2.99375
Safflower,1998,Rabi       ,Karnataka,58727,1260.8,0.616428571
Sesamum,1998,Kharif     ,Karnataka,46673,1260.8,0.417307692
Soyabean,1998,Kharif     ,Karnataka,70294,1260.8,1.060588235
Sunflower,1998,Kharif     ,Karnataka,127090,1260.8,0.382608696
Sunflower,1998,Rabi       ,Karnataka,112736,1260.8,0.390416667
Sunflower,1998,Summer     ,Karnataka,24211,1260.8,0.595217391
Turmeric,1998,Whole Year ,Karnataka,25386,1260.8,4.682380952
Wheat,1998,Rabi       ,Karnataka,219433,1260.8,0.848823529
Arecanut,1998,Whole Year ,Kerala,68479,3151.5,0.797857143
Banana,1998,Whole Year ,Kerala,386588,3151.5,12.85714286
Black pepper,1998,Whole Year ,Kerala,68510,3151.5,0.261428571
Cardamom,1998,Whole Year ,Kerala,4990,3151.5,0.045555556
Cashewnut,1998,Whole Year ,Kerala,51336,3151.5,0.484285714
Coconut ,1998,Whole Year ,Kerala,5132000000,3151.5,5304.749286
Cotton(lint),1998,Kharif     ,Kerala,17752,3151.5,1.61
Dry chillies,1998,Whole Year ,Kerala,288,3151.5,0.937777778
Garlic,1998,Whole Year ,Kerala,12614,3151.5,17
Ginger,1998,Whole Year ,Kerala,39362,3151.5,2.93
Groundnut,1998,Kharif     ,Kerala,5219,3151.5,0.62
Jowar,1998,Kharif     ,Kerala,1108,3151.5,0.505
Ragi,1998,Kharif     ,Kerala,936,3151.5,0.81
Rice,1998,Autumn     ,Kerala,235849,3151.5,1.856923077
Rice,1998,Summer     ,Kerala,144872,3151.5,2.116153846
Rice,1998,Winter     ,Kerala,346022,3151.5,1.937142857
Sesamum,1998,Kharif     ,Kerala,1057,3151.5,0.467272727
Sugarcane,1998,Whole Year ,Kerala,472160,3151.5,64.83
Sweet potato,1998,Whole Year ,Kerala,11924,3151.5,11.718
Tapioca,1998,Whole Year ,Kerala,2630155,3151.5,25.51785714
Tobacco,1998,Whole Year ,Kerala,228,3151.5,5.56
Turmeric,1998,Whole Year ,Kerala,8034,3151.5,1.997857143
Arecanut,1998,Whole Year ,Meghalaya,11567,6552.7,1.151666667
Arhar/Tur,1998,Kharif     ,Meghalaya,678,6552.7,0.803333333
Banana,1998,Whole Year ,Meghalaya,62888,6552.7,11.26714286
Cotton(lint),1998,Kharif     ,Meghalaya,5599,6552.7,0.796666667
Dry chillies,1998,Whole Year ,Meghalaya,1051,6552.7,0.598571429
Ginger,1998,Kharif     ,Meghalaya,45590,6552.7,6.008571429
Gram,1998,Rabi       ,Meghalaya,283,6552.7,0.61
Jute,1998,Kharif     ,Meghalaya,27097,6552.7,7.553333333
Linseed,1998,Kharif     ,Meghalaya,23,6552.7,0.45
Maize,1998,Kharif     ,Meghalaya,25272,6552.7,1.457142857
Mesta,1998,Kharif     ,Meghalaya,21362,6552.7,4.58
Mesta,1998,Whole Year ,Meghalaya,631,6552.7,0.68
Other  Rabi pulses,1998,Rabi       ,Meghalaya,1527,6552.7,0.755714286
Potato,1998,Whole Year ,Meghalaya,201059,6552.7,7.738571429
Rapeseed &Mustard,1998,Rabi       ,Meghalaya,4576,6552.7,0.635714286
Rice,1998,Kharif     ,Meghalaya,149742,6552.7,1.51
Sesamum,1998,Kharif     ,Meghalaya,694,6552.7,0.575714286
Small millets,1998,Kharif     ,Meghalaya,2282,6552.7,0.871428571
Soyabean,1998,Kharif     ,Meghalaya,812,6552.7,0.881428571
Sugarcane,1998,Whole Year ,Meghalaya,225,6552.7,2.328
Sweet potato,1998,Whole Year ,Meghalaya,17291,6552.7,3.302857143
Tapioca,1998,Whole Year ,Meghalaya,21251,6552.7,6.547142857
Tobacco,1998,Whole Year ,Meghalaya,507,6552.7,0.61
Turmeric,1998,Whole Year ,Meghalaya,6997,6552.7,5.624285714
Wheat,1998,Rabi       ,Meghalaya,6998,6552.7,1.605
Arecanut,1998,Whole Year ,West Bengal,13665,2152.5,1.595294118
Arhar/Tur,1998,Kharif     ,West Bengal,1672,2152.5,0.756923077
Bajra,1998,Kharif     ,West Bengal,84,2152.5,0.436666667
Barley,1998,Rabi       ,West Bengal,5910,2152.5,1.10375
Cardamom,1998,Whole Year ,West Bengal,690,2152.5,0.24
Castor seed,1998,Rabi       ,West Bengal,38,2152.5,0.7
Coconut ,1998,Whole Year ,West Bengal,318174400,2152.5,12448.06222
Cotton(lint),1998,Kharif     ,West Bengal,73,2152.5,0.37
Dry chillies,1998,Whole Year ,West Bengal,51303,2152.5,0.890555556
Ginger,1998,Kharif     ,West Bengal,18839,2152.5,1.449444444
Gram,1998,Rabi       ,West Bengal,18971,2152.5,0.875
Groundnut,1998,Whole Year ,West Bengal,34994,2152.5,1.128571429
Horse-gram,1998,Rabi       ,West Bengal,2043,2152.5,0.422
Jowar,1998,Kharif     ,West Bengal,414,2152.5,0.465
Jute,1998,Kharif     ,West Bengal,7373630,2152.5,13.24705882
Khesari,1998,Rabi       ,West Bengal,20850,2152.5,0.774666667
Linseed,1998,Rabi       ,West Bengal,2691,2152.5,0.24
Maize,1998,Kharif     ,West Bengal,121161,2152.5,2.634
Masoor,1998,Rabi       ,West Bengal,35600,2152.5,0.600588235
Mesta,1998,Kharif     ,West Bengal,81030,2152.5,8.453846154
Moong(Green Gram),1998,Kharif     ,West Bengal,429,2152.5,0.5075
Moong(Green Gram),1998,Rabi       ,West Bengal,1598,2152.5,0.61
Moong(Green Gram),1998,Summer     ,West Bengal,2980,2152.5,0.312857143
Niger seed,1998,Kharif     ,West Bengal,4100,2152.5,0.4075
Other Kharif pulses,1998,Kharif     ,West Bengal,318,2152.5,0.516
Peas & beans (Pulses),1998,Rabi       ,West Bengal,6776,2152.5,0.70625
Potato,1998,Whole Year ,West Bengal,6689636,2152.5,18.95944444
Ragi,1998,Kharif     ,West Bengal,15648,2152.5,0.91
Rapeseed &Mustard,1998,Rabi       ,West Bengal,251740,2152.5,0.667222222
Rice,1998,Autumn     ,West Bengal,740688,2152.5,1.751111111
Rice,1998,Summer     ,West Bengal,4921984,2152.5,3.22
Rice,1998,Winter     ,West Bengal,7653780,2152.5,1.781666667
Safflower,1998,Rabi       ,West Bengal,16,2152.5,0.4575
Sannhamp,1998,Whole Year ,West Bengal,9280,2152.5,4.971428571
Sesamum,1998,Whole Year ,West Bengal,85448,2152.5,0.741111111
Small millets,1998,Kharif     ,West Bengal,1877,2152.5,0.575714286
Small millets,1998,Rabi       ,West Bengal,1387,2152.5,1.035
Soyabean,1998,Kharif     ,West Bengal,461,2152.5,0.481666667
Sugarcane,1998,Whole Year ,West Bengal,2001900,2152.5,75.314375
Sunflower,1998,Kharif     ,West Bengal,111,2152.5,0.71
Turmeric,1998,Whole Year ,West Bengal,21487,2152.5,1.569444444
Urad,1998,Kharif     ,West Bengal,25071,2152.5,0.402222222
Urad,1998,Rabi       ,West Bengal,9700,2152.5,0.649090909
Wheat,1998,Rabi       ,West Bengal,778090,2152.5,1.870555556
Arecanut,1999,Whole Year ,Assam,52924,2201.8,0.746086957
Arhar/Tur,1999,Kharif     ,Assam,5102,2201.8,0.707826087
Banana,1999,Whole Year ,Assam,583383,2201.8,13.74652174
Castor seed,1999,Kharif     ,Assam,704,2201.8,0.423333333
Coconut ,1999,Whole Year ,Assam,150062000,2201.8,5672.116522
Cotton(lint),1999,Kharif     ,Assam,746,2201.8,0.41173913
Dry chillies,1999,Whole Year ,Assam,9516,2201.8,0.636956522
Gram,1999,Rabi       ,Assam,1196,2201.8,0.470454545
Jute,1999,Kharif     ,Assam,657537,2201.8,9.13173913
Linseed,1999,Rabi       ,Assam,5323,2201.8,0.502727273
Maize,1999,Kharif     ,Assam,14056,2201.8,0.613913043
Mesta,1999,Kharif     ,Assam,25515,2201.8,4.622380952
Niger seed,1999,Kharif     ,Assam,4582,2201.8,0.548947368
Onion,1999,Whole Year ,Assam,17167,2201.8,2.322173913
Other  Rabi pulses,1999,Rabi       ,Assam,58390,2201.8,0.532173913
Potato,1999,Whole Year ,Assam,699744,2201.8,8.062608696
Rapeseed &Mustard,1999,Rabi       ,Assam,129425,2201.8,0.479565217
Rice,1999,Autumn     ,Assam,514156,2201.8,1.094782609
Rice,1999,Summer     ,Assam,653783,2201.8,1.990434783
Rice,1999,Winter     ,Assam,2692709,2201.8,1.501304348
Sesamum,1999,Kharif     ,Assam,7866,2201.8,0.485217391
Small millets,1999,Kharif     ,Assam,5467,2201.8,0.502727273
Sugarcane,1999,Whole Year ,Assam,1154615,2201.8,40.43478261
Sweet potato,1999,Whole Year ,Assam,30979,2201.8,3.409130435
Tapioca,1999,Whole Year ,Assam,13444,2201.8,4.436521739
Tobacco,1999,Whole Year ,Assam,695,2201.8,0.573913043
Turmeric,1999,Whole Year ,Assam,7586,2201.8,0.667391304
Wheat,1999,Rabi       ,Assam,97583,2201.8,1.256818182
Arecanut,1999,Whole Year ,Goa,1880,3879.3,1.21
Banana,1999,Whole Year ,Goa,14500,3879.3,7.44
Black pepper,1999,Whole Year ,Goa,120,3879.3,0.44
Cashewnut,1999,Whole Year ,Goa,17274,3879.3,0.32
Coconut ,1999,Whole Year ,Goa,121580000,3879.3,4868.07
Groundnut,1999,Kharif     ,Goa,513,3879.3,1.47
Groundnut,1999,Rabi       ,Goa,1767,3879.3,1.76
Other  Rabi pulses,1999,Rabi       ,Goa,8430,3879.3,0.91
Other Kharif pulses,1999,Kharif     ,Goa,578,3879.3,0.58
Ragi,1999,Kharif     ,Goa,1070,3879.3,1.07
Rice,1999,Kharif     ,Goa,96281,3879.3,2.38
Rice,1999,Rabi       ,Goa,43642,3879.3,2.69
Sugarcane,1999,Whole Year ,Goa,68440,3879.3,51.27
Arecanut,1999,Whole Year ,Kerala,83337,2914.6,0.831428571
Banana,1999,Whole Year ,Kerala,398145,2914.6,10.36285714
Black pepper,1999,Whole Year ,Kerala,47543,2914.6,0.193571429
Cardamom,1999,Whole Year ,Kerala,6585,2914.6,0.056666667
Cashewnut,1999,Whole Year ,Kerala,65547,2914.6,0.491428571
Coconut ,1999,Whole Year ,Kerala,5680000000,2914.6,5581.025714
Cotton(lint),1999,Kharif     ,Kerala,7702,2914.6,1.61
Dry chillies,1999,Whole Year ,Kerala,310,2914.6,0.975
Garlic,1999,Whole Year ,Kerala,14433,2914.6,17
Ginger,1999,Whole Year ,Kerala,41344,2914.6,3.159285714
Groundnut,1999,Kharif     ,Kerala,5144,2914.6,0.37
Jowar,1999,Kharif     ,Kerala,1287,2914.6,0.255
Ragi,1999,Kharif     ,Kerala,704,2914.6,0.815
Rice,1999,Autumn     ,Kerala,252876,2914.6,2.081538462
Rice,1999,Summer     ,Kerala,144551,2914.6,2.292857143
Rice,1999,Winter     ,Kerala,373259,2914.6,2.097142857
Sesamum,1999,Kharif     ,Kerala,718,2914.6,0.374545455
Sugarcane,1999,Whole Year ,Kerala,578820,2914.6,88.2225
Sweet potato,1999,Whole Year ,Kerala,10698,2914.6,11.79636364
Tapioca,1999,Whole Year ,Kerala,2531752,2914.6,24.25785714
Tobacco,1999,Whole Year ,Kerala,245,2914.6,5.57
Turmeric,1999,Whole Year ,Kerala,8362,2914.6,1.999285714
Arecanut,1999,Whole Year ,Meghalaya,12510,6200.3,1.245
Arhar/Tur,1999,Kharif     ,Meghalaya,647,6200.3,0.78
Banana,1999,Whole Year ,Meghalaya,63383,6200.3,11.16285714
Castor seed,1999,Kharif     ,Meghalaya,14,6200.3,0.515
Cotton(lint),1999,Kharif     ,Meghalaya,5549,6200.3,0.8
Dry chillies,1999,Whole Year ,Meghalaya,1128,6200.3,0.635714286
Ginger,1999,Kharif     ,Meghalaya,44710,6200.3,5.765714286
